Dose;Survival;ALL;Curve;Species
206,5;4;6;QS;Chironomus riparius
103,25;5;6;QS;Chironomus riparius
51,625;5;6;QS;Chironomus riparius
25,8125;5;6;QS;Chironomus riparius
12,90625;5;6;QS;Chironomus riparius
6,453125;6;6;QS;Chironomus riparius
3,2265625;6;6;QS;Chironomus riparius
0;6;6;QS;Chironomus riparius
206,5;5;6;QS;Chironomus riparius
103,25;6;6;QS;Chironomus riparius
51,625;6;6;QS;Chironomus riparius
25,8125;6;6;QS;Chironomus riparius
12,90625;6;6;QS;Chironomus riparius
6,453125;6;6;QS;Chironomus riparius
3,2265625;6;6;QS;Chironomus riparius
0;6;6;QS;Chironomus riparius
206,5;5;6;QS;Chironomus riparius
103,25;5;6;QS;Chironomus riparius
51,625;5;6;QS;Chironomus riparius
25,8125;6;6;QS;Chironomus riparius
12,90625;6;6;QS;Chironomus riparius
6,453125;6;6;QS;Chironomus riparius
3,2265625;6;6;QS;Chironomus riparius
0;6;6;QS;Chironomus riparius
206,5;5;6;QS;Chironomus riparius
103,25;5;6;QS;Chironomus riparius
51,625;5;6;QS;Chironomus riparius
25,8125;6;6;QS;Chironomus riparius
12,90625;6;6;QS;Chironomus riparius
6,453125;6;6;QS;Chironomus riparius
3,2265625;6;6;QS;Chironomus riparius
517,12;0;5;QS;Chironomus riparius
258,56;4;5;QS;Chironomus riparius
129,28;4;5;QS;Chironomus riparius
517,12;1;5;QS;Chironomus riparius
258,56;5;5;QS;Chironomus riparius
129,28;5;5;QS;Chironomus riparius
517,12;2;5;QS;Chironomus riparius
258,56;4;5;QS;Chironomus riparius
129,28;4;5;QS;Chironomus riparius
517,12;2;5;QS;Chironomus riparius
258,56;4;5;QS;Chironomus riparius
129,28;5;5;QS;Chironomus riparius
0;4;4;Quil-A;Chironomus riparius
26,024;4;4;Quil-A;Chironomus riparius
52,048;4;4;Quil-A;Chironomus riparius
97,59;3;4;Quil-A;Chironomus riparius
195,18;0;4;Quil-A;Chironomus riparius
275,8;0;5;Quil-A;Chironomus riparius
137,9;2;5;Quil-A;Chironomus riparius
68,95;4;5;Quil-A;Chironomus riparius
0;4;4;Quil-A;Chironomus riparius
26,024;4;4;Quil-A;Chironomus riparius
52,048;4;4;Quil-A;Chironomus riparius
97,59;3;4;Quil-A;Chironomus riparius
195,18;0;4;Quil-A;Chironomus riparius
275,8;0;5;Quil-A;Chironomus riparius
137,9;2;5;Quil-A;Chironomus riparius
68,95;3;5;Quil-A;Chironomus riparius
0;4;4;Quil-A;Chironomus riparius
26,024;4;4;Quil-A;Chironomus riparius
52,048;4;4;Quil-A;Chironomus riparius
97,59;2;4;Quil-A;Chironomus riparius
195,18;0;4;Quil-A;Chironomus riparius
275,8;0;5;Quil-A;Chironomus riparius
137,9;2;5;Quil-A;Chironomus riparius
68,95;3;5;Quil-A;Chironomus riparius
0;4;4;Quil-A;Chironomus riparius
26,024;4;4;Quil-A;Chironomus riparius
52,048;4;4;Quil-A;Chironomus riparius
97,59;4;4;Quil-A;Chironomus riparius
195,18;1;4;Quil-A;Chironomus riparius
275,8;0;5;Quil-A;Chironomus riparius
137,9;2;5;Quil-A;Chironomus riparius
68,95;2;5;Quil-A;Chironomus riparius
0;4;4;TC;Chironomus riparius
0;4;4;TC;Chironomus riparius
0;4;4;TC;Chironomus riparius
0;4;4;TC;Chironomus riparius
6,904;4;4;TC;Chironomus riparius
20,712;4;4;TC;Chironomus riparius
48,328;4;4;TC;Chironomus riparius
103,56;3;4;TC;Chironomus riparius
517,8;0;5;TC;Chironomus riparius
241,64;2;5;TC;Chironomus riparius
6,904;4;4;TC;Chironomus riparius
20,712;4;4;TC;Chironomus riparius
48,328;3;4;TC;Chironomus riparius
103,56;4;4;TC;Chironomus riparius
517,8;0;5;TC;Chironomus riparius
241,64;3;5;TC;Chironomus riparius
6,904;3;4;TC;Chironomus riparius
20,712;4;4;TC;Chironomus riparius
48,328;4;4;TC;Chironomus riparius
103,56;4;4;TC;Chironomus riparius
517,8;0;5;TC;Chironomus riparius
241,64;2;5;TC;Chironomus riparius
6,904;4;4;TC;Chironomus riparius
20,712;3;4;TC;Chironomus riparius
48,328;4;4;TC;Chironomus riparius
103,56;3;4;TC;Chironomus riparius
517,8;0;5;TC;Chironomus riparius
241,64;2;5;TC;Chironomus riparius
0;5;5;QR;Chironomus riparius
35,12;5;5;QR;Chironomus riparius
70,41;5;5;QR;Chironomus riparius
140,82;5;5;QR;Chironomus riparius
281,64;4;5;QR;Chironomus riparius
563,28;1;5;QR;Chironomus riparius
0;5;5;QR;Chironomus riparius
35,12;5;5;QR;Chironomus riparius
70,41;5;5;QR;Chironomus riparius
140,82;5;5;QR;Chironomus riparius
281,64;5;5;QR;Chironomus riparius
563,28;0;5;QR;Chironomus riparius
0;5;5;QR;Chironomus riparius
35,12;5;5;QR;Chironomus riparius
70,41;5;5;QR;Chironomus riparius
140,82;5;5;QR;Chironomus riparius
281,64;4;5;QR;Chironomus riparius
563,28;1;5;QR;Chironomus riparius
0;5;5;QR;Chironomus riparius
35,12;5;5;QR;Chironomus riparius
70,41;5;5;QR;Chironomus riparius
140,82;5;5;QR;Chironomus riparius
281,64;4;5;QR;Chironomus riparius
563,28;2;5;QR;Chironomus riparius
