Conc;Start;End;Dead
0;0;6;0
0;6;10,2;0
0;10,2;21,8;0
0;21,8;29,6;0
0;29,6;44,6;0
0;44,6;51,5;0
0;51,5;70,7;0
0;70,7;94,7;0
0;94,7;Inf;24
0,07;0;6;0
0,07;6;10,2;0
0,07;10,2;21,8;0
0,07;21,8;29,6;0
0,07;29,6;44,6;0
0,07;44,6;51,5;0
0,07;51,5;70,7;2
0,07;70,7;94,7;1
0,07;94,7;Inf;21
0,26;0;6;0
0,26;6;10,2;0
0,26;10,2;21,8;1
0,26;21,8;29,6;5
0,26;29,6;44,6;0
0,26;44,6;51,5;0
0,26;51,5;70,7;0
0,26;70,7;94,7;4
0,26;94,7;Inf;14
0,9;0;6;2
0,9;6;10,2;1
0,9;10,2;21,8;1
0,9;21,8;29,6;6
0,9;29,6;44,6;2
0,9;44,6;51,5;3
0,9;51,5;70,7;3
0,9;70,7;94,7;6
0,9;94,7;Inf;0
3,1;0;6;5
3,1;6;10,2;0
3,1;10,2;21,8;2
3,1;21,8;29,6;5
3,1;29,6;44,6;3
3,1;44,6;51,5;2
3,1;51,5;70,7;3
3,1;70,7;94,7;4
3,1;94,7;Inf;0
11;0;6;0
11;6;10,2;0
11;10,2;21,8;12
11;21,8;29,6;0
11;29,6;44,6;6
11;44,6;51,5;2
11;51,5;70,7;2
11;70,7;94,7;2
11;94,7;Inf;0
