Dose;Survival;ALL;Curve
0;5;5;QS
4,6875;5;5;QS
9,375;5;5;QS
18,75;3;5;QS
37,5;2;5;QS
75;1;5;QS
100;0;5;QS
150;0;5;QS
4,6875;5;5;QS
9,375;4;5;QS
18,75;3;5;QS
37,5;3;5;QS
75;0;5;QS
100;0;5;QS
150;0;5;QS
0;5;5;QS
4,6875;5;5;QS
9,375;5;5;QS
18,75;4;5;QS
37,5;3;5;QS
75;0;5;QS
100;0;5;QS
150;0;5;QS
0;5;5;QS
4,6875;5;5;QS
9,375;4;5;QS
18,75;4;5;QS
37,5;4;5;QS
75;0;5;QS
100;0;5;QS
150;0;5;QS
100;0;5;Quil-A
50;0;5;Quil-A
25;1;5;Quil-A
12,5;5;5;Quil-A
6,25;5;5;Quil-A
3,13;5;5;Quil-A
0;5;5;Quil-A
100;0;5;Quil-A
50;0;5;Quil-A
25;0;5;Quil-A
12,5;4;5;Quil-A
6,25;5;5;Quil-A
3,13;5;5;Quil-A
0;5;5;Quil-A
100;0;5;Quil-A
50;0;5;Quil-A
25;1;5;Quil-A
12,5;5;5;Quil-A
6,25;5;5;Quil-A
3,13;5;5;Quil-A
0;5;5;Quil-A
100;0;5;Quil-A
50;0;5;Quil-A
25;1;5;Quil-A
12,5;5;5;Quil-A
6,25;5;5;Quil-A
3,13;5;5;Quil-A
0;5;5;Quil-A
0;5;5;TC
2,6016;5;5;TC
6,504;4;5;TC
13,008;3;5;TC
26,016;3;5;TC
34,688;3;5;TC
69,376;0;5;TC
0;5;5;TC
2,6016;5;5;TC
6,504;9;10;TC
13,008;4;5;TC
26,016;2;5;TC
34,688;3;5;TC
69,376;1;5;TC
0;5;5;TC
2,6016;5;5;TC
6,504;4;5;TC
13,008;3;5;TC
26,016;3;5;TC
34,688;3;5;TC
69,376;1;5;TC
0;5;5;TC
2,6016;5;5;TC
6,504;4;5;TC
13,008;2;5;TC
26,016;3;5;TC
34,688;3;5;TC
69,376;0;5;TC
0;5;5;QR
458,52;0;5;QR
343,89;0;5;QR
229,26;5;5;QR
171,95;5;5;QR
114,63;5;5;QR
57,315;5;5;QR
0;5;5;QR
458,52;0;5;QR
343,89;0;5;QR
229,26;5;5;QR
171,95;5;5;QR
114,63;5;5;QR
57,315;5;5;QR
0;5;5;QR
458,52;0;5;QR
343,89;0;5;QR
229,26;5;5;QR
171,95;5;5;QR
114,63;5;5;QR
57,315;5;5;QR
0;5;5;QR
458,52;0;5;QR
343,89;0;5;QR
229,26;5;5;QR
171,95;5;5;QR
114,63;5;5;QR
57,315;5;5;QR
