Dose;Survival;ALL;Curve
0;5;5;QS
2,65;4;4;QS
5,515;4;4;QS
11,03;4;4;QS
22,06;4;4;QS
44,12;4;4;QS
99,27;0;5;QS
0;5;5;QS
2,65;4;4;QS
5,515;4;4;QS
11,03;4;4;QS
22,06;4;4;QS
44,12;3;4;QS
99,27;0;5;QS
0;5;5;QS
2,65;4;4;QS
5,515;4;4;QS
11,03;4;4;QS
22,06;4;4;QS
44,12;5;5;QS
99,27;0;5;QS
0;5;5;QS
2,65;4;4;QS
5,515;4;4;QS
11,03;3;4;QS
22,06;4;4;QS
44,12;5;5;QS
99,27;0;5;QS
0;5;5;TC
3,452;1;5;TC
6,904;0;5;TC
13,12;0;5;TC
26,24;0;5;TC
51,78;0;5;TC
103,56;0;5;TC
0;5;5;TC
3,452;1;5;TC
6,904;0;5;TC
13,12;0;5;TC
26,24;0;5;TC
51,78;0;5;TC
103,56;0;5;TC
0;5;5;TC
3,452;3;5;TC
6,904;0;5;TC
13,12;0;5;TC
26,24;0;5;TC
51,78;0;5;TC
103,56;0;5;TC
0;5;5;TC
3,452;4;5;TC
6,904;0;5;TC
13,12;0;5;TC
26,24;0;5;TC
51,78;0;5;TC
103,56;0;5;TC
0;5;5;Quil-A
6,895;5;5;Quil-A
13,79;5;5;Quil-A
27,58;5;5;Quil-A
55,16;0;5;Quil-A
110,32;0;5;Quil-A
0;5;5;Quil-A
6,895;5;5;Quil-A
13,79;5;5;Quil-A
27,58;5;5;Quil-A
55,16;0;5;Quil-A
110,32;0;5;Quil-A
0;5;5;Quil-A
6,895;5;5;Quil-A
13,79;5;5;Quil-A
27,58;5;5;Quil-A
55,16;0;5;Quil-A
110,32;0;5;Quil-A
0;5;5;Quil-A
6,895;5;5;Quil-A
13,79;5;5;Quil-A
27,58;5;5;Quil-A
55,16;0;5;Quil-A
110,32;0;5;Quil-A
0;5;5;QR
20,06;5;5;QR
40,12;5;5;QR
80,24;4;5;QR
160,48;0;5;QR
320,96;0;5;QR
0;5;5;QR
20,06;5;5;QR
40,12;5;5;QR
80,24;5;5;QR
160,48;4;5;QR
320,96;0;5;QR
0;5;5;QR
20,06;5;5;QR
40,12;5;5;QR
80,24;3;5;QR
160,48;4;5;QR
320,96;0;5;QR
0;5;5;QR
20,06;5;5;QR
40,12;5;5;QR
80,24;3;5;QR
160,48;0;5;QR
320,96;0;5;QR
