Dose;Survival;ALL;Curve
0;4;4;QS
6,25;4;4;QS
12,5;4;4;QS
25;4;4;QS
50;2;4;QS
100;1;4;QS
200;0;4;QS
34,79;4;4;QS
74,55;2;4;QS
0;4;4;QS
6,25;4;4;QS
12,5;4;4;QS
25;5;5;QS
50;4;6;QS
100;2;5;QS
200;0;4;QS
34,79;4;4;QS
74,55;3;4;QS
0;5;5;QS
6,25;5;5;QS
12,5;4;4;QS
25;4;4;QS
50;4;4;QS
100;0;4;QS
200;0;4;QS
34,79;3;4;QS
74,55;2;4;QS
0;4;4;QS
6,25;4;4;QS
12,5;4;4;QS
25;4;4;QS
50;4;4;QS
100;0;4;QS
200;0;4;QS
34,79;3;4;QS
74,55;2;4;QS
0;4;4;Quil-A
6,25;3;4;Quil-A
12,5;4;4;Quil-A
25;4;4;Quil-A
50;0;4;Quil-A
100;0;4;Quil-A
200;0;4;Quil-A
30,94;4;4;Quil-A
40,46;2;4;Quil-A
0;4;4;Quil-A
6,25;4;4;Quil-A
12,5;4;4;Quil-A
25;4;4;Quil-A
50;0;4;Quil-A
100;0;4;Quil-A
200;0;4;Quil-A
30,94;3;4;Quil-A
40,46;3;4;Quil-A
0;4;4;Quil-A
6,25;5;5;Quil-A
12,5;4;4;Quil-A
25;3;4;Quil-A
50;0;4;Quil-A
100;0;4;Quil-A
200;0;4;Quil-A
30,94;3;4;Quil-A
40,46;2;4;Quil-A
0;4;4;Quil-A
6,25;4;4;Quil-A
12,5;4;4;Quil-A
25;4;4;Quil-A
50;0;4;Quil-A
100;0;4;Quil-A
200;0;4;Quil-A
30,94;4;4;Quil-A
40,46;0;4;Quil-A
0;4;4;TC
0,3452;4;4;TC
0,6904;4;4;TC
1,3808;4;4;TC
2,7616;4;4;TC
5,5232;1;4;TC
6,486;0;4;TC
12,972;0;4;TC
25,944;0;4;TC
51,888;0;4;TC
0;4;4;TC
0,3452;4;4;TC
0,6904;4;4;TC
1,3808;4;4;TC
2,7616;4;4;TC
5,5232;0;4;TC
6,486;0;4;TC
12,972;0;4;TC
25,944;0;4;TC
51,888;0;4;TC
0;4;4;TC
0,3452;6;6;TC
0,6904;4;4;TC
1,3808;4;4;TC
2,7616;4;4;TC
5,5232;1;4;TC
6,486;0;4;TC
12,972;0;4;TC
25,944;0;4;TC
51,888;0;4;TC
0;4;4;TC
0,3452;4;4;TC
0,6904;4;4;TC
1,3808;4;4;TC
2,7616;4;4;TC
5,5232;1;4;TC
6,486;1;4;TC
12,972;0;4;TC
25,944;0;4;TC
51,888;0;4;TC
0;5;5;QR
14,08;5;5;QR
29,34;5;5;QR
58,67;5;5;QR
117,34;4;5;QR
140,81;4;5;QR
281,62;3;5;QR
563,24;0;5;QR
0;5;5;QR
14,08;5;5;QR
29,34;5;5;QR
58,67;5;5;QR
117,34;2;5;QR
140,81;5;5;QR
281,62;0;5;QR
563,24;0;5;QR
0;5;5;QR
14,08;5;5;QR
29,34;5;5;QR
58,67;5;5;QR
117,34;4;5;QR
140,81;5;5;QR
281,62;0;5;QR
563,24;0;5;QR
0;5;5;QR
14,08;5;5;QR
29,34;5;5;QR
58,67;5;5;QR
117,34;5;5;QR
140,81;1;5;QR
281,62;2;5;QR
563,24;0;5;QR
