Dose;Survival;ALL;Curve
0;5;5;QS
9,375;4;5;QS
18,75;5;5;QS
37,5;4;5;QS
75;5;5;QS
150;3;5;QS
300;4;5;QS
0;5;5;QS
9,375;5;5;QS
18,75;4;5;QS
37,5;3;5;QS
75;4;5;QS
150;3;5;QS
300;5;5;QS
0;4;5;QS
9,375;5;5;QS
18,75;5;5;QS
37,5;5;5;QS
75;5;5;QS
150;4;5;QS
300;3;5;QS
0;5;5;QS
9,375;3;5;QS
18,75;5;5;QS
37,5;4;5;QS
75;5;5;QS
150;5;5;QS
300;5;5;QS
0;5;5;Quil-A
9,375;5;5;Quil-A
18,75;5;5;Quil-A
37,5;5;5;Quil-A
75;4;5;Quil-A
150;5;5;Quil-A
300;4;5;Quil-A
0;5;5;Quil-A
9,375;5;5;Quil-A
18,75;5;5;Quil-A
37,5;4;5;Quil-A
75;4;5;Quil-A
150;4;5;Quil-A
300;3;5;Quil-A
0;4;5;Quil-A
9,375;4;5;Quil-A
18,75;5;5;Quil-A
37,5;5;5;Quil-A
75;4;5;Quil-A
150;5;5;Quil-A
300;3;5;Quil-A
0;5;5;Quil-A
9,375;3;5;Quil-A
18,75;4;5;Quil-A
37,5;3;5;Quil-A
75;4;5;Quil-A
150;5;5;Quil-A
300;5;5;Quil-A
