Dose;Survival;ALL;Curve
220,00;0;16;QS
110,00;1;16;QS
55,00;8;16;QS
27,50;15;16;QS
13,75;16;16;QS
6,88;16;16;QS
0,00;16;16;QS
105,00;0;16;Quil-A
52,50;0;16;Quil-A
26,25;8;16;Quil-A
13,13;12;16;Quil-A
6,56;14;16;Quil-A
3,28;14;16;Quil-A
1,64;16;16;Quil-A
0,00;16;16;Quil-A
115,07;0;16;TC
57,54;0;16;TC
28,77;5;16;TC
14,38;11;16;TC
7,19;14;16;TC
3,60;16;16;TC
0,00;16;16;TC
117,34;4;16;QR
58,67;10;16;QR
29,34;14;16;QR
14,67;16;16;QR
7,33;16;16;QR
3,67;16;16;QR
1,83;16;16;QR
0,00;16;16;QR
;;;
