Dose;RGR;Curve
303,15;0,108976007;QS
303,15;0,145782792;QS
303,15;0,119847067;QS
303,15;0,061065997;QS
303,15;0,092205369;QS
303,15;0,135175936;QS
151,575;0,115146532;QS
151,575;0,107157616;QS
151,575;0,180674089;QS
151,575;0,110154772;QS
151,575;0,107010441;QS
151,575;0,138797494;QS
75,7875;0,146988466;QS
75,7875;0,202577573;QS
75,7875;0,231056076;QS
75,7875;0,181591573;QS
75,7875;0,209226815;QS
75,7875;0,161046131;QS
37,89375;0,250343577;QS
37,89375;0,234467723;QS
37,89375;0,262707915;QS
37,89375;0,261735537;QS
37,89375;0,217784856;QS
37,89375;0,200095832;QS
18,946875;0,264792633;QS
18,946875;0,272387088;QS
18,946875;0,235714555;QS
18,946875;0,252704296;QS
18,946875;0,260230804;QS
18,946875;0,229502867;QS
9,4734375;0,287950293;QS
9,4734375;0,282136665;QS
9,4734375;0,286149936;QS
9,4734375;0,263118386;QS
9,4734375;0,268799273;QS
9,4734375;0,294156936;QS
0;0,274789511;QS
0;0,311946244;QS
0;0,307030984;QS
0;0,275649745;QS
0;0,282254169;QS
0;0,298354195;QS
0;0,301272571;QS
0;0,264425369;QS
0;0,294248383;QS
0;0,272740138;QS
0;0,293019844;QS
0;0,204072362;QS
291,45;0,13289056;Quil-A
291,45;0,089175762;Quil-A
291,45;0,102582808;Quil-A
291,45;0,156081078;Quil-A
291,45;0,047101;Quil-A
291,45;0,124881956;Quil-A
145,725;0,102911188;Quil-A
145,725;0,099282934;Quil-A
145,725;0,111589623;Quil-A
145,725;0,076226108;Quil-A
145,725;0,091367825;Quil-A
145,725;0,125577266;Quil-A
72,8625;0,14783904;Quil-A
72,8625;0,108773775;Quil-A
72,8625;0,108033322;Quil-A
72,8625;0,106652933;Quil-A
72,8625;0,14825882;Quil-A
72,8625;0,136635254;Quil-A
36,43125;0,166254515;Quil-A
36,43125;0,187731643;Quil-A
36,43125;0,225406236;Quil-A
36,43125;0,253482663;Quil-A
36,43125;0,21649148;Quil-A
36,43125;0,183136497;Quil-A
18,215625;0,272471941;Quil-A
18,215625;0,236203484;Quil-A
18,215625;0,211654269;Quil-A
18,215625;0,230530994;Quil-A
18,215625;0,278523256;Quil-A
18,215625;0,252391854;Quil-A
9,1078125;0,203106161;Quil-A
9,1078125;0,258764337;Quil-A
9,1078125;0,2645357;Quil-A
9,1078125;0,229592872;Quil-A
9,1078125;0,261185582;Quil-A
9,1078125;0,268658695;Quil-A
0;0,274789511;Quil-A
0;0,311946244;Quil-A
0;0,307030984;Quil-A
0;0,275649745;Quil-A
0;0,282254169;Quil-A
0;0,298354195;Quil-A
0;0,301272571;Quil-A
0;0,264425369;Quil-A
0;0,294248383;Quil-A
0;0,272740138;Quil-A
0;0,293019844;Quil-A
0;0,204072362;Quil-A
310,68;0,072723599;TC
310,68;0,081779491;TC
310,68;0,066399366;TC
310,68;0,012822329;TC
310,68;0,074435451;TC
310,68;0,059931637;TC
155,34;0,103956343;TC
155,34;0,089241125;TC
155,34;0,073503073;TC
155,34;0,136241532;TC
155,34;0,054449388;TC
155,34;0,100164762;TC
77,67;0,172025608;TC
77,67;0,210182336;TC
77,67;0,178814071;TC
77,67;0,140254163;TC
77,67;0,178761901;TC
77,67;0,165970436;TC
38,835;0,242240697;TC
38,835;0,269823572;TC
38,835;0,259701165;TC
38,835;0,202250166;TC
38,835;0,24340817;TC
38,835;0,250976907;TC
19,4175;0,272759272;TC
19,4175;0,274545142;TC
19,4175;0,2450924;TC
19,4175;0,294713286;TC
19,4175;0,279210633;TC
19,4175;0,303943248;TC
9,70875;0,309107666;TC
9,70875;0,284264936;TC
9,70875;0,283983257;TC
9,70875;0,319502667;TC
9,70875;0,294270619;TC
9,70875;0,262653682;TC
0;0,274789511;TC
0;0,311946244;TC
0;0,307030984;TC
0;0,275649745;TC
0;0,282254169;TC
0;0,298354195;TC
0;0,301272571;TC
0;0,264425369;TC
0;0,294248383;TC
0;0,272740138;TC
0;0,293019844;TC
0;0,204072362;TC
0;0,281927605;QR
0;0,271181286;QR
0;0,287025852;QR
0;0,277743924;QR
0;0,286940864;QR
0;0,287801524;QR
22,93;0,264543822;QR
22,93;0,26450242;QR
22,93;0,282465231;QR
22,93;0,285917749;QR
22,93;0,316302032;QR
22,93;0,245298999;QR
45,85;0,213366071;QR
45,85;0,176268751;QR
45,85;0,231232081;QR
45,85;0,199912777;QR
45,85;0,204005341;QR
45,85;0,202839139;QR
85,98;0,236314041;QR
85,98;0,232051397;QR
85,98;0,221994499;QR
85,98;0,219588414;QR
85,98;0,23940022;QR
85,98;0,220944828;QR
171,95;0,161064894;QR
171,95;0,18108814;QR
171,95;0,164599773;QR
171,95;0,138965072;QR
171,95;0,187720444;QR
171,95;0,15871527;QR
343,89;0,183974815;QR
343,89;0,283600836;QR
343,89;0,175576131;QR
343,89;0,14511659;QR
343,89;0,151323501;QR
343,89;0,161283215;QR
515,84;0,153179179;QR
515,84;0,23119001;QR
515,84;0,18077271;QR
515,84;0,167276595;QR
515,84;0,176461762;QR
515,84;0,126798857;QR
