Dose;RGR;Curve
0;1,0048168;QS
3,15625;1,107959341;QS
6,3125;0,97393602;QS
12,625;1,016727675;QS
25,25;0,847293584;QS
50,5;0,760028499;QS
101;0,664111645;QS
202;0,483314245;QS
404;0,364576535;QS
0;0,992899436;QS
3,15625;1,115724715;QS
6,3125;0,908626772;QS
12,625;0,894971176;QS
25,25;0,870636206;QS
50,5;0,718342905;QS
101;0,667135581;QS
202;0,581689699;QS
404;0,335796561;QS
0;1,002283764;QS
3,15625;1,064187025;QS
6,3125;0,841298852;QS
12,625;0,941519943;QS
25,25;0,853383519;QS
50,5;0,698298619;QS
101;0,706003404;QS
202;0,681712415;QS
404;0,402419148;QS
0;1,065966072;Quil-A
4,8125;1,085267954;Quil-A
9,625;1,011491135;Quil-A
19,25;1,017891972;Quil-A
38,5;0,965228666;Quil-A
77;1,071447676;Quil-A
154;1,085592934;Quil-A
308;0,940786303;Quil-A
616;0,646240769;Quil-A
0;0,956919579;Quil-A
4,8125;1,138481951;Quil-A
9,625;1,025044778;Quil-A
19,25;0,892468119;Quil-A
38,5;0,992148093;Quil-A
77;1,134850819;Quil-A
154;0,936092226;Quil-A
308;0,979151356;Quil-A
616;0,816793468;Quil-A
0;0,977114349;Quil-A
4,8125;1,055311593;Quil-A
9,625;1,055207859;Quil-A
19,25;1,00548306;Quil-A
38,5;1,048061105;Quil-A
77;1,034616346;Quil-A
154;1,006052323;Quil-A
308;0,967347036;Quil-A
616;0,633523011;Quil-A
0,00;1,007708834;TC
7,59;0,842023482;TC
15,18;0,9801049;TC
30,36;0,936334993;TC
60,72;0,830064904;TC
121,43;0,44485856;TC
0,00;0,986098055;TC
7,59;0,965966061;TC
15,18;0,96761858;TC
30,36;0,94360626;TC
60,72;0,876564217;TC
121,43;0,525598387;TC
0,00;1,006193111;TC
7,59;1,040332259;TC
15,18;1,028893597;TC
30,36;0,948382495;TC
60,72;0,831109461;TC
121,43;0,490855607;TC
